taxonNameID,scientificName,acceptedTaxonNameID,acceptedTaxonName,higherTaxonNameID,higherTaxonName,basionymID,basionym,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,nomenclaturalCode,namePublicationID,namePublishedIn,taxonomicStatus,nomenclaturalStatus,taxonRemarks,taxonConceptID,taxonAccordingTo
,"Clitocybe",,"",,"",,"","","","","","","","","","","Genus","Peck","",,"Index Fungorum","","","",,""
,"subodorifica",,"",,"",,"Clitocybe subodorifica","","","","","","","","","","Species","Peck","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Clitocybe",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXIII: 57","","","",,""
,"subodorifica",,"",,"",,"Clitocybe subodorifica","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXIII: 57","","","",,""
,"Cyphella",,"",,"",,"","","","","","","","","","","Genus","Kalchbr.","",,"Grevillea,  10(no. 55): 104 (1882)","","","",,""
,"variolosa",,"",,"",,"Cyphella variolosa","","","","","","","","","","Species","Kalchbr.","ICBN",,"Grevillea,  10(no. 55): 104 (1882)","","Assumed Valid","",,""
,"Cyphella",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. VI: 671","","","",,""
,"variolosa",,"",,"",,"Cyphella variolosa","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. VI: 671","","","",,""
,"Cyphella",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 161","","","",,""
,"variolosa",,"",,"",,"Cyphella variolosa","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 161","","","",,""
,"Cortinarius",,"",,"",,"","","","","","","","","","","Genus","Fr.","",,"Epicrisis systematis mycologici,  (Uppsala): 274 (1838)","","","",,""
,"mucifluus",,"",,"",,"Cortinarius mucifluus","","","","","","","","","","Species","Fr.","ICBN",,"Epicrisis systematis mycologici,  (Uppsala): 274 (1838)","","Assumed Valid","",,""
,"Cortinarius",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. V: 917","","","",,""
,"mucifluus",,"",,"",,"Cortinarius mucifluus","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. V: 917","","","",,""
,"Cortinarius",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 942","","","",,""
